Admin2,Combined Key,Country Region,Last Update,Lat,Long,Province State,Table Name,Active,Case Fatality Ratio,Confirmed,Deaths,Incident Rate,Recovered,Selector
,"Kochi, Japan",Japan,2/1/2021,33.422519,133.367307,Kochi,covid_0.csv,41,1.652892562,847,14,121.341663455,792,14
,"Kumamoto, Japan",Japan,2/1/2021,32.608154,130.745231,Kumamoto,covid_0.csv,461,1.916167665,3340,64,191.122858237,2815,64
,"Kyoto, Japan",Japan,2/1/2021,35.253815,135.443341,Kyoto,covid_0.csv,1535,1.420622706,8447,120,327.028285798,6792,120
,"Mie, Japan",Japan,2/1/2021,34.508018,136.376013,Mie,covid_0.csv,413,1.371742112,2187,30,122.804318310,1744,30
,"Miyagi, Japan",Japan,2/1/2021,38.446859,140.927086,Miyagi,covid_0.csv,453,0.637681159,3450,22,149.586036902,2975,22
,"Miyazaki, Japan",Japan,2/1/2021,32.193204,131.299374,Miyazaki,covid_0.csv,229,1.098901099,1820,20,169.570325566,1571,20
,"Nagano, Japan",Japan,2/1/2021,36.132134,138.045528,Nagano,covid_0.csv,217,1.529720280,2288,35,111.675671982,2036,35
,"Nagasaki, Japan",Japan,2/1/2021,33.235712,129.608033,Nagasaki,covid_0.csv,300,1.769331586,1526,27,115.037496495,1199,27
,"Nara, Japan",Japan,2/1/2021,34.317451,135.871644,Nara,covid_0.csv,301,1.308285810,2981,39,224.114611957,2641,39
,"Niigata, Japan",Japan,2/1/2021,37.521819,138.918647,Niigata,covid_0.csv,135,0.987925357,911,9,40.978702770,767,9
,"Oita, Japan",Japan,2/1/2021,33.200697,131.43324,Oita,covid_0.csv,210,1.468048359,1158,17,101.987433880,931,17
,"Okayama, Japan",Japan,2/1/2021,34.89246,133.826252,Okayama,covid_0.csv,304,0.898203593,2338,21,123.730806642,2013,21
,"Okinawa, Japan",Japan,2/1/2021,25.768923,126.668016,Okinawa,covid_0.csv,931,1.202431290,7568,91,520.793191152,6546,91
,"Osaka, Japan",Japan,2/1/2021,34.620965,135.507481,Osaka,covid_0.csv,5841,2.117878462,43723,926,496.324195064,36956,926
,"Port Quarantine, Japan",Japan,2/1/2021,,,Port Quarantine,covid_0.csv,94,0.092807425,2155,2,,2059,2
,"Saga, Japan",Japan,2/1/2021,33.286977,130.115738,Saga,covid_0.csv,154,0.624349636,961,6,117.955937750,801,6
,"Saitama, Japan",Japan,2/1/2021,35.997101,139.347635,Saitama,covid_0.csv,4860,1.395441031,25225,352,343.211614417,20013,352
,"Shiga, Japan",Japan,2/1/2021,35.215827,136.138064,Shiga,covid_0.csv,413,1.413094677,2123,30,150.147495338,1680,30
,"Shimane, Japan",Japan,2/1/2021,35.07076,132.554064,Shimane,covid_0.csv,27,0,275,0,40.780252274,248,0
,"Shizuoka, Japan",Japan,2/1/2021,34.916975,138.407784,Shizuoka,covid_0.csv,790,1.633986928,4590,75,125.976800508,3725,75
,"Tochigi, Japan",Japan,2/1/2021,36.689912,139.819213,Tochigi,covid_0.csv,701,1.246023330,3772,47,195.037202881,3024,47
,"Tokushima, Japan",Japan,2/1/2021,33.919178,134.242091,Tokushima,covid_0.csv,80,3.636363636,385,14,52.886286243,291,14
,"Tokyo, Japan",Japan,2/1/2021,35.711343,139.446921,Tokyo,covid_0.csv,15258,0.883804262,99909,883,717.702885272,83768,883
,"Tottori, Japan",Japan,2/1/2021,35.359069,133.863619,Tottori,covid_0.csv,37,1,200,2,35.999841601,161,2
,"Toyama, Japan",Japan,2/1/2021,36.637464,137.269346,Toyama,covid_0.csv,65,3.085714286,875,27,83.852259028,783,27
,"Unknown, Japan",Japan,2/1/2021,,,Unknown,covid_0.csv,0,0,8,0,,8,0
,"Wakayama, Japan",Japan,2/1/2021,33.911879,135.505446,Wakayama,covid_0.csv,147,1.317027281,1063,14,114.927243379,902,14
,"Yamagata, Japan",Japan,2/1/2021,38.448396,140.102154,Yamagata,covid_0.csv,63,2.569169960,506,13,46.953323200,430,13
,"Yamaguchi, Japan",Japan,2/1/2021,34.20119,131.573293,Yamaguchi,covid_0.csv,377,1.700404858,1235,21,90.920066905,837,21
,"Yamanashi, Japan",Japan,2/1/2021,35.612364,138.611489,Yamanashi,covid_0.csv,47,1.662971175,902,15,111.226749663,840,15
,Jordan,Jordan,2/1/2021,31.24,36.51,,covid_0.csv,7958,1.320463202,326855,4316,3203.474616638,314581,4316
,Kazakhstan,Kazakhstan,2/1/2021,48.0196,66.9237,,covid_0.csv,28130,1.291531690,235844,3126,1256.045588824,204668,3126
,Kenya,Kenya,2/1/2021,-0.0236,37.9062,,covid_0.csv,15103,1.749476546,100773,1763,187.410384350,83907,1763
,"Korea, South","Korea, South",2/1/2021,35.907757,127.766922,,covid_0.csv,8774,1.815101646,78508,1425,153.129024896,68309,1425
,Kosovo,Kosovo,2/1/2021,42.602636,20.902977,,covid_0.csv,6281,2.487628284,60218,1498,3326.288717309,52439,1498
,Kuwait,Kuwait,2/1/2021,29.31166,47.481766,,covid_0.csv,6367,0.580308247,165257,959,3869.677136246,157931,959
,Kyrgyzstan,Kyrgyzstan,2/1/2021,41.20438,74.766098,,covid_0.csv,2189,1.669267508,84588,1412,1296.528565764,80987,1412
,Laos,Laos,2/1/2021,19.85627,102.495496,,covid_0.csv,3,0,44,0,0.604764777,41,0
,Latvia,Latvia,2/1/2021,56.8796,24.6032,,covid_0.csv,10360,1.804018659,66241,1195,3511.872005225,54686,1195
,Lebanon,Lebanon,2/1/2021,33.8547,35.8623,,covid_0.csv,117093,1.023743406,301052,3082,4410.732667569,180877,3082
,Lesotho,Lesotho,2/1/2021,-29.61,28.2336,,covid_0.csv,5940,1.985226223,8664,172,404.434212222,2552,172
,Liberia,Liberia,2/1/2021,6.428055,-9.429499,,covid_0.csv,95,4.332129964,1939,84,38.337758619,1760,84
,Libya,Libya,2/1/2021,26.3351,17.228331,,covid_0.csv,18048,1.582217127,118631,1877,1726.474239833,98706,1877
